"GEOID","census_tract","borough","total_population"
"36081005400","Census Tract 54, Queens County, New York"," Queens County",5630
"36081005500","Census Tract 55, Queens County, New York"," Queens County",943
"36081005700","Census Tract 57, Queens County, New York"," Queens County",4315
"36081005800","Census Tract 58, Queens County, New York"," Queens County",5785
"36081005900","Census Tract 59, Queens County, New York"," Queens County",4174
"36081006100","Census Tract 61, Queens County, New York"," Queens County",5980
"36081006201","Census Tract 62.01, Queens County, New York"," Queens County",5996
"36081006202","Census Tract 62.02, Queens County, New York"," Queens County",7378
"36081006300","Census Tract 63, Queens County, New York"," Queens County",5434
"36081006501","Census Tract 65.01, Queens County, New York"," Queens County",3550
"36081006502","Census Tract 65.02, Queens County, New York"," Queens County",3845
"36081006900","Census Tract 69, Queens County, New York"," Queens County",4649
"36081007100","Census Tract 71, Queens County, New York"," Queens County",3825
"36081007300","Census Tract 73, Queens County, New York"," Queens County",4365
"36081007500","Census Tract 75, Queens County, New York"," Queens County",4325
"36081007700","Census Tract 77, Queens County, New York"," Queens County",1446
"36081007900","Census Tract 79, Queens County, New York"," Queens County",3425
"36081008100","Census Tract 81, Queens County, New York"," Queens County",1213
"36081008300","Census Tract 83, Queens County, New York"," Queens County",3527
"36081008500","Census Tract 85, Queens County, New York"," Queens County",1138
"36081008600","Census Tract 86, Queens County, New York"," Queens County",2849
"36081008700","Census Tract 87, Queens County, New York"," Queens County",5107
"36081008800","Census Tract 88, Queens County, New York"," Queens County",3928
"36081009100","Census Tract 91, Queens County, New York"," Queens County",2863
"36081009400","Census Tract 94, Queens County, New York"," Queens County",2962
"36081009500","Census Tract 95, Queens County, New York"," Queens County",2755
"36081009600","Census Tract 96, Queens County, New York"," Queens County",4079
"36081009700","Census Tract 97, Queens County, New York"," Queens County",3410
"36081009800","Census Tract 98, Queens County, New York"," Queens County",2818
"36081009900","Census Tract 99, Queens County, New York"," Queens County",0
"36081010000","Census Tract 100, Queens County, New York"," Queens County",3833
"36081010100","Census Tract 101, Queens County, New York"," Queens County",2501
"36081010200","Census Tract 102, Queens County, New York"," Queens County",3164
"36081010300","Census Tract 103, Queens County, New York"," Queens County",3812
"36081010400","Census Tract 104, Queens County, New York"," Queens County",3442
"36081010500","Census Tract 105, Queens County, New York"," Queens County",4115
"36081010600","Census Tract 106, Queens County, New York"," Queens County",3741
"36081010701","Census Tract 107.01, Queens County, New York"," Queens County",0
"36081010800","Census Tract 108, Queens County, New York"," Queens County",3530
"36081011000","Census Tract 110, Queens County, New York"," Queens County",3586
"36081011100","Census Tract 111, Queens County, New York"," Queens County",3440
"36081011200","Census Tract 112, Queens County, New York"," Queens County",2168
"36081011300","Census Tract 113, Queens County, New York"," Queens County",4229
