"BoroCT2010","census_tract","borough","total_population","data"
365039902,"Census Tract 399.02, Bronx County, New York"," Bronx County",5156,5156
365040100,"Census Tract 401, Bronx County, New York"," Bronx County",5088,5088
365040302,"Census Tract 403.02, Bronx County, New York"," Bronx County",4151,4151
365040303,"Census Tract 403.03, Bronx County, New York"," Bronx County",4726,4726
365040304,"Census Tract 403.04, Bronx County, New York"," Bronx County",4229,4229
365040400,"Census Tract 404, Bronx County, New York"," Bronx County",2818,2818
365040501,"Census Tract 405.01, Bronx County, New York"," Bronx County",4416,4416
365040502,"Census Tract 405.02, Bronx County, New York"," Bronx County",5937,5937
365040600,"Census Tract 406, Bronx County, New York"," Bronx County",3635,3635
365040701,"Census Tract 407.01, Bronx County, New York"," Bronx County",3193,3193
365040702,"Census Tract 407.02, Bronx County, New York"," Bronx County",7800,7800
365040800,"Census Tract 408, Bronx County, New York"," Bronx County",4557,4557
365040900,"Census Tract 409, Bronx County, New York"," Bronx County",3048,3048
365041100,"Census Tract 411, Bronx County, New York"," Bronx County",2907,2907
365041300,"Census Tract 413, Bronx County, New York"," Bronx County",7561,7561
365041400,"Census Tract 414, Bronx County, New York"," Bronx County",4714,4714
365041500,"Census Tract 415, Bronx County, New York"," Bronx County",5874,5874
365041800,"Census Tract 418, Bronx County, New York"," Bronx County",4276,4276
365041900,"Census Tract 419, Bronx County, New York"," Bronx County",6951,6951
365042000,"Census Tract 420, Bronx County, New York"," Bronx County",3516,3516
365042100,"Census Tract 421, Bronx County, New York"," Bronx County",5654,5654
365042200,"Census Tract 422, Bronx County, New York"," Bronx County",3563,3563
365042300,"Census Tract 423, Bronx County, New York"," Bronx County",4485,4485
365042400,"Census Tract 424, Bronx County, New York"," Bronx County",2686,2686
365042500,"Census Tract 425, Bronx County, New York"," Bronx County",6134,6134
365042600,"Census Tract 426, Bronx County, New York"," Bronx County",6694,6694
365042800,"Census Tract 428, Bronx County, New York"," Bronx County",2025,2025
365042901,"Census Tract 429.01, Bronx County, New York"," Bronx County",4055,4055
365042902,"Census Tract 429.02, Bronx County, New York"," Bronx County",4621,4621
365043000,"Census Tract 430, Bronx County, New York"," Bronx County",3321,3321
365043100,"Census Tract 431, Bronx County, New York"," Bronx County",10325,10325
365043400,"Census Tract 434, Bronx County, New York"," Bronx County",3837,3837
