"GEOID","census_tract","borough","total_population","disability"
36005033000,"Census Tract 330, Bronx County, New York"," Bronx County",5697,0.175706512199403
36005033201,"Census Tract 332.01, Bronx County, New York"," Bronx County",4125,0.184484848484848
36005033202,"Census Tract 332.02, Bronx County, New York"," Bronx County",4207,0.219361759184768
36005033400,"Census Tract 334, Bronx County, New York"," Bronx County",1441,0.176266481609993
36005033500,"Census Tract 335, Bronx County, New York"," Bronx County",2207,0.0745762711864407
36005033600,"Census Tract 336, Bronx County, New York"," Bronx County",6613,0.191894752759716
36005033700,"Census Tract 337, Bronx County, New York"," Bronx County",2277,0.10320597277119
36005033800,"Census Tract 338, Bronx County, New York"," Bronx County",4247,0.126206734165293
36005034000,"Census Tract 340, Bronx County, New York"," Bronx County",4582,0.130074203404627
36005034200,"Census Tract 342, Bronx County, New York"," Bronx County",2128,0.12218045112782
36005034300,"Census Tract 343, Bronx County, New York"," Bronx County",1755,0.0851612903225806
36005034400,"Census Tract 344, Bronx County, New York"," Bronx County",2324,0.139845094664372
36005034500,"Census Tract 345, Bronx County, New York"," Bronx County",3461,0.0982375036116729
36005034800,"Census Tract 348, Bronx County, New York"," Bronx County",7306,0.16362888858435
36005035000,"Census Tract 350, Bronx County, New York"," Bronx County",1781,0.126333520494104
36005035100,"Census Tract 351, Bronx County, New York"," Bronx County",3296,0.0819174757281553
36005035600,"Census Tract 356, Bronx County, New York"," Bronx County",2367,0.136614340263046
36005035800,"Census Tract 358, Bronx County, New York"," Bronx County",7558,0.0781952897591956
36005035900,"Census Tract 359, Bronx County, New York"," Bronx County",1960,0.103571428571429
36005036000,"Census Tract 360, Bronx County, New York"," Bronx County",3063,0.119105833042263
36005036100,"Census Tract 361, Bronx County, New York"," Bronx County",6099,0.160728944344114
36005036300,"Census Tract 363, Bronx County, New York"," Bronx County",7977,0.121368381335681
36005036400,"Census Tract 364, Bronx County, New York"," Bronx County",2389,0.11762243616576
36005036501,"Census Tract 365.01, Bronx County, New York"," Bronx County",3904,0.141393442622951
36005036502,"Census Tract 365.02, Bronx County, New York"," Bronx County",2002,0.173826173826174
36005036700,"Census Tract 367, Bronx County, New York"," Bronx County",2709,0.115171650055371
36005036800,"Census Tract 368, Bronx County, New York"," Bronx County",2186,0.130375114364135
36005036901,"Census Tract 369.01, Bronx County, New York"," Bronx County",2276,0.176625659050967
36005036902,"Census Tract 369.02, Bronx County, New York"," Bronx County",2236,0.165921288014311
36005037000,"Census Tract 370, Bronx County, New York"," Bronx County",2463,0.116930572472594
36005037100,"Census Tract 371, Bronx County, New York"," Bronx County",3908,0.226202661207779
36005037200,"Census Tract 372, Bronx County, New York"," Bronx County",2052,0.16130604288499
36005037300,"Census Tract 373, Bronx County, New York"," Bronx County",5463,0.14277869302581
36005037400,"Census Tract 374, Bronx County, New York"," Bronx County",3713,0.257743064907083
36005037504,"Census Tract 375.04, Bronx County, New York"," Bronx County",3690,0.167479208488672
36005037600,"Census Tract 376, Bronx County, New York"," Bronx County",2440,0.143852459016393
36005037800,"Census Tract 378, Bronx County, New York"," Bronx County",3233,0.0878441076399629
36005037900,"Census Tract 379, Bronx County, New York"," Bronx County",5287,0.121619065632684
36005038000,"Census Tract 380, Bronx County, New York"," Bronx County",4755,0.142796248934356
36005038100,"Census Tract 381, Bronx County, New York"," Bronx County",6534,0.149148381156974
36005038200,"Census Tract 382, Bronx County, New York"," Bronx County",2666,0.103525881470368
36005038301,"Census Tract 383.01, Bronx County, New York"," Bronx County",4356,0.115702479338843
36005038302,"Census Tract 383.02, Bronx County, New York"," Bronx County",5941,0.175223026426528
36005038500,"Census Tract 385, Bronx County, New York"," Bronx County",5025,0.160398009950249
36005038600,"Census Tract 386, Bronx County, New York"," Bronx County",7477,0.073023940082921
36005038700,"Census Tract 387, Bronx County, New York"," Bronx County",3297,0.13406126781923
36005038800,"Census Tract 388, Bronx County, New York"," Bronx County",2471,0.113719142047754
36005038900,"Census Tract 389, Bronx County, New York"," Bronx County",5908,0.0854773188896412
36005039000,"Census Tract 390, Bronx County, New York"," Bronx County",3191,0.122845502977123
36005039100,"Census Tract 391, Bronx County, New York"," Bronx County",6808,0.12147473560517
36005039200,"Census Tract 392, Bronx County, New York"," Bronx County",1750,0.187428571428571
36005039300,"Census Tract 393, Bronx County, New York"," Bronx County",8433,0.152377564330606
36005039400,"Census Tract 394, Bronx County, New York"," Bronx County",4961,0.105620360551432
36005039500,"Census Tract 395, Bronx County, New York"," Bronx County",3980,0.157286432160804
36005039600,"Census Tract 396, Bronx County, New York"," Bronx County",4287,0.156519710753441
36005039700,"Census Tract 397, Bronx County, New York"," Bronx County",4106,0.059181685338529
36005039800,"Census Tract 398, Bronx County, New York"," Bronx County",2769,0.0892018779342723
36005039901,"Census Tract 399.01, Bronx County, New York"," Bronx County",5168,0.180147058823529
36005039902,"Census Tract 399.02, Bronx County, New York"," Bronx County",5156,0.172614429790535
36005040100,"Census Tract 401, Bronx County, New York"," Bronx County",5088,0.127358490566038
36005040302,"Census Tract 403.02, Bronx County, New York"," Bronx County",4151,0.135629968682245
36005040303,"Census Tract 403.03, Bronx County, New York"," Bronx County",4726,0.0698264917477782
36005040304,"Census Tract 403.04, Bronx County, New York"," Bronx County",4229,0.107590446914164
36005040400,"Census Tract 404, Bronx County, New York"," Bronx County",2818,0.160752306600426
36005040501,"Census Tract 405.01, Bronx County, New York"," Bronx County",4416,0.143795289855072
36005040502,"Census Tract 405.02, Bronx County, New York"," Bronx County",5937,0.115378137106283
36005040600,"Census Tract 406, Bronx County, New York"," Bronx County",3635,0.136176066024759
36005040701,"Census Tract 407.01, Bronx County, New York"," Bronx County",3193,0.13373003445036
36005040702,"Census Tract 407.02, Bronx County, New York"," Bronx County",7800,0.118589743589744
36005040800,"Census Tract 408, Bronx County, New York"," Bronx County",4557,0.0950186526223393
36005040900,"Census Tract 409, Bronx County, New York"," Bronx County",3048,0.147965879265092
36005041100,"Census Tract 411, Bronx County, New York"," Bronx County",2907,0.0690846286701209
36005041300,"Census Tract 413, Bronx County, New York"," Bronx County",7561,0.109377066525592
36005041400,"Census Tract 414, Bronx County, New York"," Bronx County",4714,0.0803400637619554
36005041500,"Census Tract 415, Bronx County, New York"," Bronx County",5874,0.078481443649983
36005041800,"Census Tract 418, Bronx County, New York"," Bronx County",4276,0.111085126286249
36005041900,"Census Tract 419, Bronx County, New York"," Bronx County",6951,0.120150007211885
36005042000,"Census Tract 420, Bronx County, New York"," Bronx County",3516,0.128220313888066
36005042100,"Census Tract 421, Bronx County, New York"," Bronx County",5654,0.147683056243368
36005042200,"Census Tract 422, Bronx County, New York"," Bronx County",3563,0.113668257086725
36005042300,"Census Tract 423, Bronx County, New York"," Bronx County",4485,0.134671125975474
36005042400,"Census Tract 424, Bronx County, New York"," Bronx County",2686,0.100654664484452
36005042500,"Census Tract 425, Bronx County, New York"," Bronx County",6134,0.102217150309749
36005042600,"Census Tract 426, Bronx County, New York"," Bronx County",6694,0.0945622945921721
36005042800,"Census Tract 428, Bronx County, New York"," Bronx County",2025,0.0795061728395062
36005042901,"Census Tract 429.01, Bronx County, New York"," Bronx County",4055,0.137607891491985
36005042902,"Census Tract 429.02, Bronx County, New York"," Bronx County",4621,0.123418423973363
36005043000,"Census Tract 430, Bronx County, New York"," Bronx County",3321,0.122252333634447
36005043100,"Census Tract 431, Bronx County, New York"," Bronx County",10325,0.18937784522003
36005043400,"Census Tract 434, Bronx County, New York"," Bronx County",3837,0.137086265311441
36005043500,"Census Tract 435, Bronx County, New York"," Bronx County",52,0.442307692307692
36005043600,"Census Tract 436, Bronx County, New York"," Bronx County",2244,0.11319073083779
36005044200,"Census Tract 442, Bronx County, New York"," Bronx County",4071,0.110645638245441
36005044400,"Census Tract 444, Bronx County, New York"," Bronx County",3576,0.0936800894854586
36005044800,"Census Tract 448, Bronx County, New York"," Bronx County",2181,0.0857404860155892
36005044901,"Census Tract 449.01, Bronx County, New York"," Bronx County",1465,0.133788395904437
36005044902,"Census Tract 449.02, Bronx County, New York"," Bronx County",2031,0.120137863121615
36005045101,"Census Tract 451.01, Bronx County, New York"," Bronx County",1531,0.168199737187911
36005045102,"Census Tract 451.02, Bronx County, New York"," Bronx County",1893,0.0903328050713154
36005045600,"Census Tract 456, Bronx County, New York"," Bronx County",3275,0.125801526717557
36005045800,"Census Tract 458, Bronx County, New York"," Bronx County",5243,0.220484455464429
